firstName;lastName;office;password;department
Hazel;Bender;Paris;Btssio75000;Direction
Eric;Steele;Paris;Btssio75000;Traders
Wesley;Teague;Paris;Btssio75000;Traders
Patricia;Mangum;Paris;Btssio75000;Secretary
Lois;Joseph;Paris;Btssio75000;Secretary
Sandra;Heller;Paris;Btssio75000;Sales
Katie;May;Paris;Btssio75000;Sales
Beth;McKenna;Londres;Btssio75000;Direction
Franklin;Watson;Berlin;Btssio75000;Direction
Peggy;Hobbs;Berlin;Btssio75000;Traders
Louis;Rollins;Londres;Btssio75000;Secretary
Heather;Butler;Berlin;Btssio75000;Secretary
Lawrence;Miles;Londres;Btssio75000;Sales
Glen;Kramer;Londres;Btssio75000;Sales
Valerie;Jennings;Berlin;Btssio75000;Sales
Meredith;Bowles;Berlin;Btssio75000;Sales
Alex;Henry;Londres;Btssio75000;Traders
