firstName;lastName;office;password;department
Kristina;Chung;Paris;Btssio75000;Direction
Paige;Chen;Paris;Btssio75000;Direction
Sherri;Melton;Paris;Btssio75000;Direction
Gretchen;Hill;Paris;Btssio75000;Direction
Karen;Puckett;Paris;Btssio75000;Direction
Patrick;Song;Paris;Btssio75000;Direction
Elsie;Hamilton;Paris;Btssio75000;Direction
Hazel;Bender;Paris;Btssio75000;Direction
Malcolm;Wagner;Paris;Btssio75000;Traders
Dolores;McLaughlin;Paris;Btssio75000;Traders
Francis;McNamara;Paris;Btssio75000;Traders
Sandy;Raynor;Paris;Btssio75000;Traders
Marion;Moon;Paris;Btssio75000;Traders
Beth;Woodard;Paris;Btssio75000;Traders
Julia;Desai;Paris;Btssio75000;Traders
Jerome;Wallace;Paris;Btssio75000;Traders
Neal;Lawrence;Paris;Btssio75000;Traders
Jean;Griffin;Paris;Btssio75000;Traders
Kristine;Dougherty;Paris;Btssio75000;Traders
Crystal;Powers;Paris;Btssio75000;Traders
Alex;May;Paris;Btssio75000;Traders
Eric;Steele;Paris;Btssio75000;Traders
Wesley;Teague;Paris;Btssio75000;Traders
Franklin;Vick;Paris;Btssio75000;Secretary
Claire;Gallagher;Paris;Btssio75000;Secretary
Marian;Solomon;Paris;Btssio75000;Secretary
Marcia;Walsh;Paris;Btssio75000;Secretary
Dwight;Monroe;Paris;Btssio75000;Secretary
Wayne;Connolly;Paris;Btssio75000;Secretary
Stephanie;Hawkins;Paris;Btssio75000;Secretary
Neal;Middleton;Paris;Btssio75000;Secretary
Gretchen;Goldstein;Paris;Btssio75000;Secretary
Tim;Watts;Paris;Btssio75000;Secretary
Jerome;Johnston;Paris;Btssio75000;Secretary
Shelley;Weeks;Paris;Btssio75000;Secretary
Priscilla;Wilkerson;Paris;Btssio75000;Secretary
Elsie;Barton;Paris;Btssio75000;Secretary
Beth;Walton;Paris;Btssio75000;Secretary
Erica;Hall;Paris;Btssio75000;Secretary
Douglas;Ross;Paris;Btssio75000;Secretary
Donald;Chung;Paris;Btssio75000;Secretary
Katherine;Bender;Paris;Btssio75000;Secretary
Paul;Woods;Paris;Btssio75000;Secretary
Patricia;Mangum;Paris;Btssio75000;Secretary
Lois;Joseph;Paris;Btssio75000;Secretary
Louis;Rosenthal;Paris;Btssio75000;Accounting
Christina;Bowden;Paris;Btssio75000;Accounting
Darlene;Barton;Paris;Btssio75000;Accounting
Harvey;Underwood;Paris;Btssio75000;Accounting
William;Jones;Paris;Btssio75000;Accounting
Frederick;Baker;Paris;Btssio75000;Accounting
Shirley;Merritt;Paris;Btssio75000;Accounting
Jason;Cross;Paris;Btssio75000;Accounting
Judith;Cooper;Paris;Btssio75000;Accounting
Gretchen;Holmes;Paris;Btssio75000;Accounting
Don;Sharpe;Paris;Btssio75000;Accounting
Glenda;Morgan;Paris;Btssio75000;Accounting
Scott;Hoyle;Paris;Btssio75000;Accounting
Pat;Allen;Paris;Btssio75000;Accounting
Michelle;Rich;Paris;Btssio75000;Accounting
Jessica;Rich;Paris;Btssio75000;Accounting
Evan;Grant;Paris;Btssio75000;Accounting
Melinda;Proctor;Paris;Btssio75000;Accounting
Calvin;Diaz;Paris;Btssio75000;Accounting
Eugene;Graham;Paris;Btssio75000;Accounting
Vickie;Watkins;Paris;Btssio75000;Accounting
Luis;Hinton;Paris;Btssio75000;Accounting
Allan;Marsh;Paris;Btssio75000;Accounting
Melanie;Hewitt;Paris;Btssio75000;Accounting
Marianne;Branch;Paris;Btssio75000;Accounting
Natalie;Walton;Paris;Btssio75000;Financial-Consultant
Caroline;O'Brien;Paris;Btssio75000;Financial-Consultant
Arlene;Case;Paris;Btssio75000;Financial-Consultant
Kyle;Watts;Paris;Btssio75000;Financial-Consultant
Calvin;Christensen;Paris;Btssio75000;Financial-Consultant
Gary;Parks;Paris;Btssio75000;Financial-Consultant
Samantha;Hardin;Paris;Btssio75000;Financial-Consultant
Sara;Lucas;Paris;Btssio75000;Financial-Consultant
Stacy;Eason;Paris;Btssio75000;Financial-Consultant
Gladys;Davidson;Paris;Btssio75000;Financial-Consultant
Mike;Whitehead;Paris;Btssio75000;Financial-Consultant
Lynne;Rose;Paris;Btssio75000;Financial-Consultant
Faye;Sparks;Paris;Btssio75000;Financial-Consultant
Diana;Moore;Paris;Btssio75000;Financial-Consultant
Leon;Pearson;Paris;Btssio75000;Financial-Consultant
Ethel;Rodgers;Paris;Btssio75000;Financial-Consultant
Steve;Graves;Paris;Btssio75000;Financial-Consultant
Alison;Scarborough;Paris;Btssio75000;Financial-Consultant
Sherri;Sutton;Paris;Btssio75000;Financial-Consultant
Patsy;Sinclair;Paris;Btssio75000;Financial-Consultant
Kelly;Bowman;Paris;Btssio75000;Financial-Consultant
Stacy;Olsen;Paris;Btssio75000;Financial-Consultant
Curtis;Love;Paris;Btssio75000;Financial-Consultant
Dana;McLean;Paris;Btssio75000;Financial-Consultant
Jennifer;Christian;Paris;Btssio75000;Financial-Consultant
Brett;Lamb;Paris;Btssio75000;Financial-Consultant
Brandon;James;Paris;Btssio75000;Financial-Consultant
Keith;Chandler;Paris;Btssio75000;Financial-Consultant
Joann;Stout;Paris;Btssio75000;Financial-Consultant
Ronnie;Cowan;Paris;Btssio75000;Financial-Consultant
Scott;Golden;Paris;Btssio75000;Financial-Consultant
Gene;Bowling;Paris;Btssio75000;Financial-Consultant
Louise;Beasley;Paris;Btssio75000;Financial-Consultant
Geoffrey;Clapp;Paris;Btssio75000;Financial-Consultant
Patricia;Abrams;Paris;Btssio75000;Financial-Consultant
Jennifer;Tilley;Paris;Btssio75000;Sales
Mary;Morse;Paris;Btssio75000;Sales
Shawn;Boykin;Paris;Btssio75000;Sales
Vincent;Sumner;Paris;Btssio75000;Sales
Kurt;Cassidy;Paris;Btssio75000;Sales
Danny;Davidson;Paris;Btssio75000;Sales
Charlene;Heath;Paris;Btssio75000;Sales
Alice;Blanchard;Paris;Btssio75000;Sales
Joan;McAllister;Paris;Btssio75000;Sales
Betty;McKenzie;Paris;Btssio75000;Sales
Danny;Byrne;Paris;Btssio75000;Sales
Peggy;Schroeder;Paris;Btssio75000;Sales
Leslie;Griffin;Paris;Btssio75000;Sales
Marshall;Gross;Paris;Btssio75000;Sales
Sara;Perkins;Paris;Btssio75000;Sales
Martha;Robertson;Paris;Btssio75000;Sales
Jack;Palmer;Paris;Btssio75000;Sales
Gayle;Brady;Paris;Btssio75000;Sales
Benjamin;Rowe;Paris;Btssio75000;Sales
Roberta;Zhang;Paris;Btssio75000;Sales
Patricia;Hodge;Paris;Btssio75000;Sales
Clifford;Li;Paris;Btssio75000;Sales
Joanne;Bowling;Paris;Btssio75000;Sales
Martin;Justice;Paris;Btssio75000;Sales
Toni;Glass;Paris;Btssio75000;Sales
Beth;Willis;Paris;Btssio75000;Sales
Jessica;Hester;Paris;Btssio75000;Sales
Samantha;Floyd;Paris;Btssio75000;Sales
Jimmy;Graves;Paris;Btssio75000;Sales
Vincent;Fischer;Paris;Btssio75000;Sales
Dianne;Norman;Paris;Btssio75000;Sales
Rhonda;Chan;Paris;Btssio75000;Sales
Tamara;Hunt;Paris;Btssio75000;Sales
Mary;Byrd;Paris;Btssio75000;Sales
Sidney;Lane;Paris;Btssio75000;Sales
Jeff;Kaplan;Paris;Btssio75000;Sales
Sandra;Heller;Paris;Btssio75000;Sales
Katie;May;Paris;Btssio75000;Sales
Raymond;Jennings;Paris;Btssio75000;Sales
Roger;Hanna;Paris;Btssio75000;Sales
Natalie;Locklear;Paris;Btssio75000;Sales
Kathy;Holloway;Paris;Btssio75000;Sales
Troy;Jones;Paris;Btssio75000;Sales
Neal;Glover;Paris;Btssio75000;Sales
Martin;Vick;Londres;Btssio75000;Direction
Jack;O'Donnell;Londres;Btssio75000;Direction
Vincent;Goldman;Londres;Btssio75000;Direction
Beth;McKenna;Londres;Btssio75000;Direction
Milton;Starr;Berlin;Btssio75000;Direction
Tamara;Stone;Berlin;Btssio75000;Direction
Mitchell;McClure;Berlin;Btssio75000;Direction
Franklin;Watson;Berlin;Btssio75000;Direction
Leroy;Monroe;Londres;Btssio75000;Traders
Glen;Abbott;Londres;Btssio75000;Traders
Judith;Singer;Londres;Btssio75000;Traders
Alice;Hall;Londres;Btssio75000;Traders
Bruce;Farrell;Londres;Btssio75000;Traders
Kathleen;Lucas;Londres;Btssio75000;Traders
Amy;Norman;Londres;Btssio75000;Traders
Ronnie;Atkins;Londres;Btssio75000;Traders
Martha;Monroe;Londres;Btssio75000;Traders
Lynn;Robertson;Berlin;Btssio75000;Traders
Jose;Sykes;Berlin;Btssio75000;Traders
Robert;Reid;Berlin;Btssio75000;Traders
Pauline;Chandler;Berlin;Btssio75000;Traders
Stephen;Finch;Berlin;Btssio75000;Traders
Peggy;Hobbs;Berlin;Btssio75000;Traders
Donna;Adkins;Londres;Btssio75000;Secretary
Doris;Kinney;Londres;Btssio75000;Secretary
Ben;Whitaker;Londres;Btssio75000;Secretary
Kristin;Alexander;Londres;Btssio75000;Secretary
Ryan;Conner;Londres;Btssio75000;Secretary
Tracey;Waters;Londres;Btssio75000;Secretary
Mark;Becker;Londres;Btssio75000;Secretary
Louis;Rollins;Londres;Btssio75000;Secretary
Janet;Love;Berlin;Btssio75000;Secretary
Leo;Adkins;Berlin;Btssio75000;Secretary
Constance;Black;Berlin;Btssio75000;Secretary
Sarah;Fox;Berlin;Btssio75000;Secretary
Gladys;Hatcher;Berlin;Btssio75000;Secretary
Hazel;Wu;Berlin;Btssio75000;Secretary
Hazel;Lloyd;Berlin;Btssio75000;Secretary
Jerome;Joyce;Berlin;Btssio75000;Secretary
Vincent;Welch;Berlin;Btssio75000;Secretary
Kim;Matthews;Berlin;Btssio75000;Secretary
Joseph;Chappell;Berlin;Btssio75000;Secretary
Alison;MacDonald;Berlin;Btssio75000;Secretary
Eric;Kane;Berlin;Btssio75000;Secretary
Heather;Butler;Berlin;Btssio75000;Secretary
Claire;Pickett;Londres;Btssio75000;Accounting
Michele;Bowman;Londres;Btssio75000;Accounting
Terry;Barton;Londres;Btssio75000;Accounting
Ken;Kennedy;Londres;Btssio75000;Accounting
Judy;Branch;Londres;Btssio75000;Accounting
Clyde;Thornton;Londres;Btssio75000;Accounting
Timothy;McNeill;Londres;Btssio75000;Accounting
Ted;Weinstein;Londres;Btssio75000;Accounting
Sandra;Middleton;Londres;Btssio75000;Accounting
Billie;Moss;Londres;Btssio75000;Accounting
Katharine;Lucas;Londres;Btssio75000;Accounting
Lester;Rich;Londres;Btssio75000;Accounting
Johnny;Carlton;Londres;Btssio75000;Accounting
Ashley;Brady;Londres;Btssio75000;Accounting
Lauren;Schultz;Berlin;Btssio75000;Accounting
Carolyn;Nichols;Berlin;Btssio75000;Accounting
Louis;Harvey;Berlin;Btssio75000;Accounting
Charlene;Stevenson;Berlin;Btssio75000;Accounting
Ashley;Houston;Berlin;Btssio75000;Accounting
Sheryl;Dunn;Berlin;Btssio75000;Accounting
Ben;West;Berlin;Btssio75000;Accounting
Linda;O'Brien;Berlin;Btssio75000;Accounting
Sarah;Barr;Berlin;Btssio75000;Accounting
Brett;Snyder;Berlin;Btssio75000;Accounting
Dana;Cain;Berlin;Btssio75000;Accounting
Rebecca;Heath;Londres;Btssio75000;Financial-Consultant
Glenda;Boswell;Londres;Btssio75000;Financial-Consultant
Glen;Olsen;Londres;Btssio75000;Financial-Consultant
Don;Pittman;Londres;Btssio75000;Financial-Consultant
Gregory;Weiner;Londres;Btssio75000;Financial-Consultant
Randy;Petersen;Londres;Btssio75000;Financial-Consultant
Geraldine;Davis;Londres;Btssio75000;Financial-Consultant
Edna;Coleman;Londres;Btssio75000;Financial-Consultant
Sidney;Terrell;Londres;Btssio75000;Financial-Consultant
Faye;Norman;Londres;Btssio75000;Financial-Consultant
Kathy;Burch;Londres;Btssio75000;Financial-Consultant
Marguerite;Weiner;Londres;Btssio75000;Financial-Consultant
Marvin;Parrott;Londres;Btssio75000;Financial-Consultant
Alex;Henry;Londres;Btssio75000;Financial-Consultant
Alexander;Gray;Londres;Btssio75000;Financial-Consultant
Marsha;Chang;Londres;Btssio75000;Financial-Consultant
Karl;McLean;Berlin;Btssio75000;Financial-Consultant
Laura;Eason;Berlin;Btssio75000;Financial-Consultant
Melinda;Weeks;Berlin;Btssio75000;Financial-Consultant
Eva;Siegel;Berlin;Btssio75000;Financial-Consultant
Robert;Puckett;Berlin;Btssio75000;Financial-Consultant
Bill;Heath;Berlin;Btssio75000;Financial-Consultant
Edna;Hoyle;Berlin;Btssio75000;Financial-Consultant
Clifford;Garrett;Berlin;Btssio75000;Financial-Consultant
Penny;Neal;Berlin;Btssio75000;Financial-Consultant
Glenda;Baker;Berlin;Btssio75000;Financial-Consultant
Arthur;Goldman;Berlin;Btssio75000;Financial-Consultant
Wesley;Shaffer;Berlin;Btssio75000;Financial-Consultant
Allison;Choi;Berlin;Btssio75000;Financial-Consultant
Florence;Carver;Berlin;Btssio75000;Financial-Consultant
Claire;Shelton;Berlin;Btssio75000;Financial-Consultant
Jeremy;House;Berlin;Btssio75000;Financial-Consultant
Christy;Lyons;Berlin;Btssio75000;Financial-Consultant
Wesley;Moser;Berlin;Btssio75000;Financial-Consultant
Lucy;Dickinson;Berlin;Btssio75000;Financial-Consultant
Susan;Abbott;Londres;Btssio75000;Sales
Nancy;Hobbs;Londres;Btssio75000;Sales
Monica;Dodson;Londres;Btssio75000;Sales
Justin;Spencer;Londres;Btssio75000;Sales
Margaret;Burgess;Londres;Btssio75000;Sales
Philip;Liu;Londres;Btssio75000;Sales
Miriam;Wong;Londres;Btssio75000;Sales
Miriam;Blackburn;Londres;Btssio75000;Sales
Christopher;McKay;Londres;Btssio75000;Sales
Joanna;Middleton;Londres;Btssio75000;Sales
Stacy;Frazier;Londres;Btssio75000;Sales
Janice;Reid;Londres;Btssio75000;Sales
Brian;Braswell;Londres;Btssio75000;Sales
Juan;Steele;Londres;Btssio75000;Sales
Leroy;Donovan;Londres;Btssio75000;Sales
Tommy;Barrett;Londres;Btssio75000;Sales
Alice;Nance;Londres;Btssio75000;Sales
Adam;Washington;Londres;Btssio75000;Sales
Larry;Rogers;Londres;Btssio75000;Sales
Angela;McMahon;Londres;Btssio75000;Sales
Lawrence;Miles;Londres;Btssio75000;Sales
Glen;Kramer;Londres;Btssio75000;Sales
Valerie;Jennings;Berlin;Btssio75000;Sales
Meredith;Bowles;Berlin;Btssio75000;Sales
Jan;Brown;Berlin;Btssio75000;Sales
Lillian;Bolton;Berlin;Btssio75000;Sales
Allen;Craven;Berlin;Btssio75000;Sales
Ashley;Hendrix;Berlin;Btssio75000;Sales
Ian;Nichols;Berlin;Btssio75000;Sales
Gina;Saunders;Berlin;Btssio75000;Sales
Donna;Lehman;Berlin;Btssio75000;Sales
Catherine;Sherrill;Berlin;Btssio75000;Sales
Lester;Cash;Berlin;Btssio75000;Sales
Jacob;Pittman;Berlin;Btssio75000;Sales
Nancy;Sullivan;Berlin;Btssio75000;Sales
Gail;Whitehead;Berlin;Btssio75000;Sales
Lloyd;Mack;Berlin;Btssio75000;Sales
Donna;Rice;Berlin;Btssio75000;Sales
Kay;Ayers;Berlin;Btssio75000;Sales
Wendy;Cherry;Berlin;Btssio75000;Sales
Lucille;Richmond;Berlin;Btssio75000;Sales
Virginia;York;Berlin;Btssio75000;Sales
Bruce;Wiley;Berlin;Btssio75000;Sales
Marc;Harrington;Berlin;Btssio75000;Sales
