firstName;lastName;office;password;department
Hazel;Bender;Pariss;Btssio75000;Directionnn
Eric;Steele;Pariss;Btssio75000;Traderss
Wesley;Teague;Pariss;Btssio75000;Traderss
Patricia;Mangum;Pariss;Btssio75000;Secretaryy
Lois;Joseph;Pariss;Btssio75000;Secretaryy
Sandra;Heller;Pariss;Btssio75000;Saless
Katie;May;Pariss;Btssio75000;Saless
Beth;McKenna;Londress;Btssio75000;Directionnn
Franklin;Watson;Berlinn;Btssio75000;Directionnn
Peggy;Hobbs;Berlinn;Btssio75000;Traderss
Louis;Rollins;Londress;Btssio75000;Secretaryy
Heather;Butler;Berlinn;Btssio75000;Secretaryy
Lawrence;Miles;Londress;Btssio75000;Saless
Glen;Kramer;Londress;Btssio75000;Saless
Valerie;Jennings;Berlinn;Btssio75000;Saless
Meredith;Bowles;Berlinn;Btssio75000;Saless
Alex;Henry;Londress;Btssio75000;Traderss
